Reporting Economy,Partner Economy Code,Partner Economy,Product/Sector Code,Product/Sector,Value
Slovenia,756,Switzerland,SPX4,Goods-related services,6.406927
Sweden,756,Switzerland,S,Memo item: Total services,3787.88821
Sweden,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,52.308406
Sweden,756,Switzerland,SB,Maintenance and repair services n.i.e.,4.994961
Sweden,756,Switzerland,SC,Transport,616.806435
Sweden,756,Switzerland,SD,Travel,217.374425
Sweden,756,Switzerland,SE,Construction,13.28141
Sweden,756,Switzerland,SF,Insurance and pension services,62.499732
Sweden,756,Switzerland,SG,Financial services,68.851727
Sweden,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,256.801064
Sweden,756,Switzerland,SI,"Telecommunications, computer, and information services",387.28386
Sweden,756,Switzerland,SJ,Other business services,2089.307186
Sweden,756,Switzerland,SK,"Personal, cultural, and recreational services",11.856098
Sweden,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,6.439392
Sweden,756,Switzerland,SOX,Commercial services,3781.448819
Sweden,756,Switzerland,SOX1,Other commercial services,2889.964592
Sweden,756,Switzerland,SPX1,Memo item: Other services,2896.403983
Sweden,756,Switzerland,SPX4,Goods-related services,57.303367
European Union,756,Switzerland,S,Memo item: Total services,137633.575834
European Union,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,14827.164864
European Union,756,Switzerland,SB,Maintenance and repair services n.i.e.,911.056512
European Union,756,Switzerland,SC,Transport,19183.801316
European Union,756,Switzerland,SD,Travel,19198.232804
European Union,756,Switzerland,SE,Construction,533.069572
European Union,756,Switzerland,SF,Insurance and pension services,2091.580128
European Union,756,Switzerland,SG,Financial services,11304.920459
European Union,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,6793.183958
European Union,756,Switzerland,SI,"Telecommunications, computer, and information services",12216.788938
European Union,756,Switzerland,SJ,Other business services,48058.574814
European Union,756,Switzerland,SK,"Personal, cultural, and recreational services",1734.449076
European Union,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,573.093086
European Union,756,Switzerland,SOX,Commercial services,137060.482749
European Union,756,Switzerland,SOX1,Other commercial services,82940.227252
European Union,756,Switzerland,SPX1,Memo item: Other services,83513.320337
European Union,756,Switzerland,SPX4,Goods-related services,15738.221376
Euro Area (19),756,Switzerland,S,Memo item: Total services,101923.734843
Euro Area (19),756,Switzerland,SOX,Commercial services,101889.048109
